Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Year,SSP245_CMR5_2025,SSP245_CMR5_2026,SSP245_CMR5_2027,SSP245_CMR5_2028,SSP245_CMR5_2029,SSP245_CMR5_2030,SSP245_CMR5_2031,SSP245_CMR5_2032,SSP245_CMR5_2033,SSP245_CMR5_2034,SSP245_ECE3_2025,SSP245_ECE3_2026,SSP245_ECE3_2027,SSP245_ECE3_2028,SSP245_ECE3_2029,SSP245_ECE3_2030,SSP245_ECE3_2031,SSP245_ECE3_2032,SSP245_ECE3_2033,SSP245_ECE3_2034,SSP245_MEHR_2025,SSP245_MEHR_2026,SSP245_MEHR_2027,SSP245_MEHR_2028,SSP245_MEHR_2029,SSP245_MEHR_2030,SSP245_MEHR_2031,SSP245_MEHR_2032,SSP245_MEHR_2033,SSP245_MEHR_2034
18.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.06.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.07.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.07.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.07.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.07.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.07.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
